Frequency,Amplitude
50.0,3.8273188446534686e-35
51.90380761523046,1.7859584369176924e-34
53.807615230460925,8.20072185420465e-34
55.71142284569138,3.7054149283958225e-33
57.61523046092184,1.6475008300660997e-32
59.519038076152306,7.208061238899781e-32
61.42284569138276,3.1032397082717557e-31
63.326653306613224,1.3146683578164787e-30
65.23046092184369,5.4805119253791475e-30
67.13426853707415,2.2481747944936064e-29
69.03807615230461,9.074925159406474e-29
70.94188376753507,3.6046247493836884e-28
72.84569138276552,1.408903015965137e-27
74.749498997996,5.418838001338946e-27
76.65330661322645,2.050856470007463e-26
78.55711422845691,7.637802022905229e-26
80.46092184368737,2.7990171354019005e-25
82.36472945891784,1.0093615287953987e-24
84.2685370741483,3.5817227786407134e-24
86.17234468937875,1.2506656454938322e-23
88.07615230460922,4.297288411988359e-23
89.97995991983967,1.452953831689778e-22
91.88376753507013,4.834072475441096e-22
93.7875751503006,1.5826268537412376e-21
95.69138276553106,5.098564691264134e-21
97.59519038076152,1.6162977488297967e-20
99.49899799599199,5.041953458539702e-20
101.40280561122245,1.547676995309122e-19
103.3066132264529,4.674830324337337e-19
105.21042084168337,1.3894899444282832e-18
107.11422845691382,4.063955972157263e-18
109.01803607214428,1.1696249145758546e-17
110.92184368737475,3.3124418097359715e-17
112.82565130260521,9.231110188474299e-17
114.72945891783567,2.5314167111422003e-16
116.63326653306613,6.830891401918187e-16
118.5370741482966,1.8138240228402046e-15
120.44088176352705,4.739329987089685e-15
122.34468937875751,1.2185483836838782e-14
124.24849699398797,3.0829937038558876e-14
126.15230460921843,7.675497384978146e-14
128.0561122244489,1.8803749144033863e-13
129.95991983967934,4.5330071057591166e-13
131.86372745490982,1.0753067731701843e-12
133.76753507014027,2.5100501191278976e-12
135.67134268537075,5.765492820165982e-12
137.5751503006012,1.3031503002129552e-11
139.47895791583164,2.898388591638408e-11
141.38276553106212,6.34340945534313e-11
143.2865731462926,1.3661327705260587e-10
145.19038076152304,2.895123560719744e-10
147.0941883767535,6.037335748666379e-10
148.99799599198397,1.2388752700526916e-09
150.90180360721442,2.5015769668674475e-09
152.8056112224449,4.970547010467558e-09
154.70941883767534,9.718484182530229e-09
156.6132264529058,1.8698075501998815e-08
158.51703406813627,3.5399678394018355e-08
160.42084168336675,6.594862638798458e-08
162.3246492985972,1.2089719438530522e-07
164.22845691382764,2.1808747339520658e-07
166.1322645290581,3.8712324555000995e-07
168.03607214428857,6.761947734067808e-07
169.93987975951904,1.1622469080035975e-06
171.8436873747495,1.9657533288049324e-06
173.74749498997994,3.2716261473862168e-06
175.65130260521042,5.3579955875537295e-06
177.5551102204409,8.634656456854862e-06
179.45891783567134,1.3692785507314859e-05
181.3627254509018,2.1366952154428973e-05
